Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,Elite%
M,385,Rashford,7.0,7.0,Man Utd,70,4.83,67,3.7,66,3.63,66,4.13,66,3.58,64,3.7,63,3.33,64,14.765739312500001,0.05
M,386,Sancho,6.5,6.5,Man Utd,8,0.51,7,0.42,7,0.37,6,0.36,6,0.33,6,0.34,6,0.33,5,1.395170875,0.0
D,387,Shaw,5.0,5.0,Man Utd,0,0.0,0,0.0,0,0.0,30,1.24,64,2.13,73,2.51,74,2.15,70,10.3147824375,0.01
D,388,Wan-Bissaka,4.5,4.5,West Ham,74,2.31,69,1.92,70,1.34,69,2.01,66,1.79,67,1.98,67,2.84,66,6.899828812499999,0.02
F,389,Zirkzee,7.0,7.0,Man Utd,48,3.01,66,3.31,75,3.63,62,3.56,51,2.65,50,2.72,48,2.42,49,10.520461625,0.02
D,390,A.Murphy,4.0,4.0,Newcastle,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.04,1,0.13048649999999998,0.01
M,391,Almirón,6.0,6.0,Newcastle,18,1.19,22,1.25,22,1.23,20,1.13,19,1.04,21,1.03,20,1.15,24,4.7025788749999995,0.01
M,392,Barnes,6.5,6.5,Newcastle,33,2.33,38,2.13,37,2.19,36,2.07,35,2.07,36,1.76,37,2.09,38,7.8088309375,0.01
D,393,Botman,4.5,4.5,Newcastle,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,394,Bruno G.,6.5,6.5,Newcastle,89,4.04,86,3.13,84,3.1,83,2.99,81,2.92,81,2.5,79,2.84,80,10.5880399375,0.03
D,395,Burn,4.5,4.5,Newcastle,78,3.46,74,2.49,74,2.43,76,2.76,74,2.52,74,1.69,70,2.55,71,8.438747625,0.18
G,396,Dúbravka,4.5,4.5,Newcastle,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.01
M,397,Fraser,5.0,5.0,Newcastle,0,0.0,2,0.15,1,0.12,1,0.09,1,0.1,1,0.11,2,0.14,2,0.5301510625,0.0
M,398,Gordon,7.5,7.5,Newcastle,86,5.6,82,4.27,80,4.14,79,3.93,78,3.92,78,3.18,78,3.86,76,14.146479687499998,0.28
D,399,Hall,4.5,4.5,Newcastle,63,3.19,53,1.98,35,1.34,30,1.21,32,1.23,33,0.93,33,1.31,34,4.544217499999999,0.04
M,400,Hayden,4.5,4.5,Newcastle,8,0.4,8,0.39,6,0.32,7,0.33,8,0.39,7,0.34,7,0.34,9,1.4255885,0.0
F,401,Isak,8.5,8.5,Newcastle,89,7.14,86,5.25,80,5.05,78,4.59,75,4.49,75,3.67,76,4.42,74,16.581467124999996,0.59
M,402,J.Murphy,5.5,5.5,Newcastle,63,3.78,58,2.83,53,2.66,48,2.43,49,2.47,48,2.04,45,2.27,45,8.558285999999999,0.02
M,403,Joelinton,6.0,6.0,Newcastle,56,2.98,56,2.41,42,1.97,44,1.9,44,1.98,45,1.71,44,1.89,43,7.012123124999999,0.0
D,404,Kelly,4.5,4.5,Newcastle,80,3.37,79,2.42,78,2.31,78,2.67,76,2.35,76,1.58,76,2.54,75,8.1570713125,0.0
D,405,Krafth,4.5,4.5,Newcastle,13,0.47,13,0.39,14,0.42,17,0.57,18,0.54,18,0.41,20,0.68,20,2.1843666875,0.0
M,406,Kuol,4.5,4.5,Newcastle,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
D,407,Lascelles,4.5,4.5,Newcastle,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
D,408,Lewis,4.0,4.0,Newcastle,0,0.0,1,0.06,1,0.04,1,0.05,2,0.08,2,0.06,3,0.11,3,0.35033431249999997,0.0
D,409,Livramento,4.5,4.5,Newcastle,27,1.33,31,1.2,38,1.42,39,1.56,40,1.5,41,1.12,42,1.67,41,5.5099683125,0.01
M,410,Longstaff,5.0,5.0,Newcastle,65,2.64,64,2.24,49,1.76,48,1.69,49,1.76,49,1.51,48,1.69,48,6.2791376875,0.01
M,411,Miley,5.0,5.0,Newcastle,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.12,6,0.28,6,1.22269975,0.0
G,412,Odysseas,4.5,4.5,Newcastle,1,0.05,2,0.07,3,0.11,3,0.12,4,0.13,4,0.13,4,0.14,4,0.5648571250000001,0.0
G,413,Pope,5.0,5.0,Newcastle,94,3.82,93,3.38,91,3.23,92,3.45,91,3.29,90,3.01,91,3.45,90,12.009406125,0.06
G,414,Ruddy,4.0,4.0,Newcastle,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
D,415,Schär,5.5,5.5,Newcastle,67,3.04,86,2.83,86,2.7,82,2.91,81,2.67,81,1.81,80,2.86,79,9.3240828125,0.03
D,416,Targett,4.0,4.0,Newcastle,1,0.07,2,0.07,1,0.06,2,0.07,2,0.1,3,0.08,2,0.1,3,0.3759320625,0.01
M,417,Tonali,5.5,5.5,Newcastle,0,0.0,0,0.0,69,2.56,68,2.48,68,2.51,65,2.09,65,2.42,65,8.92416375,0.0
D,418,Trippier,6.0,6.0,Newcastle,74,4.22,65,2.69,56,2.24,56,2.42,53,2.18,53,1.5,53,2.29,51,7.693245062499999,0.14
M,419,White,4.5,4.5,Newcastle,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,420,Willock,5.0,5.0,Newcastle,39,2.19,42,1.98,28,1.42,28,1.36,29,1.43,29,1.24,29,1.42,30,5.353778687499999,0.0
F,421,Wilson,7.0,7.0,Newcastle,0,0.0,0,0.0,11,0.78,29,1.91,31,2.06,32,1.8,32,2.05,32,7.682659062499999,0.0
D,422,Aina,4.5,4.5,Nott'm Forest,86,3.1,82,2.71,80,3.21,79,1.27,79,2.03,77,2.82,77,1.5,76,8.5094774375,0.01
M,423,Anderson,5.0,5.0,Nott'm Forest,46,1.93,47,1.88,46,1.89,48,1.58,48,1.73,47,1.93,48,1.63,47,6.5856166875,0.0
F,424,Awoniyi,6.0,6.0,Nott'm Forest,17,1.14,19,1.23,18,1.21,19,0.99,19,1.11,21,1.36,20,1.1,20,4.738029,0.01
D,425,Boly,4.5,4.5,Nott'm Forest,86,2.93,83,2.67,78,2.99,77,1.22,76,1.88,74,2.59,74,1.38,73,7.9050695,0.0
M,426,Bowler,4.5,4.5,Nott'm Forest,0,0.0,2,0.15,3,0.21,3,0.21,4,0.28,4,0.32,5,0.33,5,1.391124625,0.0
G,427,C.Miguel,4.5,4.5,Nott'm Forest,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.01
M,428,Da Silva Moreira,4.5,4.5,Nott'm Forest,0,0.0,2,0.18,3,0.2,3,0.2,4,0.27,4,0.34,5,0.3,5,1.3247419999999999,0.0
M,429,Danilo,5.0,5.0,Nott'm Forest,68,2.34,68,2.26,64,2.25,65,1.84,64,1.97,64,2.25,64,1.86,64,7.6990704375,0.0
F,430,Dennis,5.0,5.0,Nott'm Forest,8,0.56,10,0.58,12,0.71,14,0.66,14,0.7,15,0.88,15,0.77,16,3.4218871249999996,0.0
M,431,Dominguez,5.0,5.0,Nott'm Forest,30,1.25,33,1.33,35,1.44,37,1.24,38,1.35,39,1.54,40,1.36,42,5.5196389375,0.0
M,432,Elanga,5.5,5.5,Nott'm Forest,63,3.14,63,2.92,64,3.08,59,2.22,61,2.54,60,2.94,60,2.31,59,9.893913499999998,0.03
M,433,Gibbs-White,6.5,6.5,Nott'm Forest,82,4.57,80,4.15,79,4.32,78,3.1,76,3.46,75,4.16,74,3.21,74,13.524917062499998,0.05
M,434,Hudson-Odoi,5.5,5.5,Nott'm Forest,76,3.57,71,3.21,71,3.27,69,2.45,66,2.64,65,3.05,65,2.42,64,10.4907241875,0.04
M,435,Mighten,4.5,4.5,Nott'm Forest,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
D,436,Murillo,4.5,4.5,Nott'm Forest,91,2.93,88,2.61,85,3.02,82,1.18,82,1.88,82,2.69,80,1.36,79,8.07480075,0.01
D,437,N.Williams,4.5,4.5,Nott'm Forest,85,2.99,84,2.7,80,3.08,78,1.25,75,1.87,77,2.73,75,1.41,77,8.309080875000001,0.01
D,438,O.Richards,4.5,4.5,Nott'm Forest,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.03,0,0.07944525,0.0
M,439,O'Brien,5.0,5.0,Nott'm Forest,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
D,440,Omobamidele,4.5,4.5,Nott'm Forest,32,1.02,32,0.94,36,1.25,38,0.56,39,0.87,39,1.21,40,0.67,42,4.034601875,0.0
D,441,Panzo,4.0,4.0,Nott'm Forest,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,442,Sangaré,4.5,4.5,Nott'm Forest,25,1.03,27,1.05,30,1.17,33,1.1,32,1.14,32,1.23,33,1.12,33,4.522736875,0.02
G,443,Sels,4.5,4.5,Nott'm Forest,93,3.39,93,3.34,93,3.53,93,2.95,92,3.12,91,3.28,91,2.97,90,11.732473249999998,0.01
D,444,Toffolo,4.5,4.5,Nott'm Forest,17,0.62,21,0.76,26,1.08,28,0.57,30,0.88,30,1.16,32,0.73,31,4.043183562499999,0.0
G,445,Turner,4.0,4.0,Nott'm Forest,2,0.07,2,0.07,2,0.09,2,0.08,3,0.12,4,0.16,4,0.14,5,0.615867,0.21
F,446,Ui-jo,4.5,4.5,Nott'm Forest,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.01
F,447,Wood,6.0,6.0,Nott'm Forest,82,4.32,80,3.92,77,3.94,76,2.93,76,3.39,74,4.0,74,3.08,73,13.057270812499997,0.05
D,448,Worrall,4.5,4.5,Nott'm Forest,5,0.15,8,0.21,13,0.43,14,0.25,14,0.33,15,0.49,16,0.33,17,1.8099143125,0.0
M,449,Yates,5.0,5.0,Nott'm Forest,49,1.87,49,1.79,50,1.89,49,1.5,52,1.71,53,1.94,52,1.61,53,6.508132562499999,0.0
M,450,Alcaraz,5.0,5.0,Southampton,69,2.56,67,3.17,62,2.51,59,2.57,61,3.21,60,2.47,60,1.95,58,9.391677062499998,0.0
M,451,Amo-Ameyaw,4.5,4.5,Southampton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,452,Aribo,5.0,5.0,Southampton,79,2.4,73,2.75,68,2.25,68,2.33,68,2.76,66,2.19,65,1.8,64,8.1989669375,0.0
F,453,Armstrong,5.5,5.5,Southampton,74,3.37,72,4.18,69,3.35,69,3.64,66,4.3,67,3.27,64,2.37,64,11.935696,0.02
G,454,Bazunu,4.5,4.5,Southampton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
D,455,Bednarek,4.0,4.0,Southampton,62,0.95,60,1.92,59,1.33,61,1.38,58,2.02,59,1.25,58,0.47,57,4.930210937499999,0.01
D,456,Bella-Kotchap,4.0,4.0,Southampton,57,1.06,57,2.03,56,1.47,56,1.48,55,2.13,57,1.45,55,0.6,56,5.4000543125,0.0
D,457,Bree,4.0,4.0,Southampton,2,0.05,2,0.08,2,0.08,4,0.13,4,0.17,3,0.12,5,0.12,4,0.5947096875,0.0
M,458,Charles,4.5,4.5,Southampton,13,0.48,12,0.46,10,0.4,9,0.38,9,0.41,10,0.41,11,0.4,10,1.52800025,0.0
M,459,Edozie,5.0,5.0,Southampton,30,1.32,22,1.18,20,1.0,18,0.93,20,1.16,20,1.0,21,0.88,20,3.8555922499999995,0.0
D,460,Edwards,4.0,4.0,Southampton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
D,461,Harwood-Bellis,4.0,4.0,Southampton,77,1.26,76,2.53,73,1.76,71,1.68,73,2.63,72,1.63,70,0.64,70,6.185155249999999,0.11
M,462,Kamaldeen,5.0,5.0,Southampton,0,0.0,9,0.51,17,0.83,18,0.92,21,1.19,21,1.03,21,0.86,21,3.9077379374999994,0.0
M,463,Lallana,5.0,5.0,Southampton,0,0.0,17,0.75,37,1.34,43,1.61,42,1.82,44,1.59,44,1.39,44,5.9305120625,0.0
D,464,Larios,4.0,4.0,Southampton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
G,465,Lis,4.0,4.0,Southampton,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
G,466,Lumley,4.0,4.0,Southampton,1,0.04,2,0.06,3,0.1,4,0.14,3,0.13,4,0.12,3,0.11,4,0.4815645625,0.0
D,467,Manning,4.5,4.5,Southampton,19,0.52,21,0.94,24,0.78,23,0.77,25,1.19,24,0.79,25,0.43,25,3.3463373124999998,0.0
F,468,Mara,5.0,5.0,Southampton,34,1.61,32,1.79,28,1.46,28,1.42,28,1.75,29,1.45,29,1.21,29,5.607259124999999,0.0
G,469,McCarthy,4.5,4.5,Southampton,94,3.07,93,3.46,92,3.15,91,3.08,91,3.44,91,3.06,91,2.97,91,11.8962769375,0.0
F,470,Onuachu,5.0,5.0,Southampton,4,0.3,4,0.33,2,0.14,2,0.17,2,0.18,2,0.19,3,0.19,4,0.9946293125,0.0
M,471,Smallbone,5.0,5.0,Southampton,81,2.56,75,2.97,71,2.48,70,2.52,68,3.01,66,2.33,68,1.94,69,9.07282275,0.0
D,472,Stephens,4.0,4.0,Southampton,13,0.25,15,0.46,16,0.4,18,0.47,20,0.74,17,0.43,22,0.29,21,2.1933730625,0.0
F,473,Stewart,4.5,4.5,Southampton,0,0.0,11,0.67,22,1.2,26,1.46,27,1.84,25,1.35,28,1.2,28,5.653106125,0.01
D,474,Sugawara,4.5,4.5,Southampton,57,1.3,58,2.44,55,1.68,53,1.65,54,2.52,55,1.64,55,0.76,57,6.519527249999999,0.0
D,475,Taylor,4.0,4.0,Southampton,56,0.97,57,1.9,54,1.32,56,1.34,51,1.86,52,1.2,51,0.51,49,4.5977671875,0.06
D,476,Walker-Peters,4.5,4.5,Southampton,60,1.05,59,2.03,59,1.48,60,1.51,60,2.29,59,1.39,59,0.57,59,5.4941455,0.01
D,477,Wood,4.0,4.0,Southampton,0,0.0,0,0.0,0,0.0,1,0.04,1,0.06,2,0.06,2,0.04,2,0.24460912499999998,0.01
D,478,A.Phillips,4.0,4.0,Spurs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.069005125,0.01
G,479,Austin,4.0,4.0,Spurs,0,0.0,2,0.08,2,0.07,2,0.09,1,0.06,0,0.0,0,0.0,0,0.0,0.0
M,480,Bentancur,5.0,5.0,Spurs,69,2.45,56,2.09,46,1.53,46,1.5,45,1.78,43,1.48,45,1.57,44,6.003144375,0.0
M,481,Bergvall,4.5,4.5,Spurs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.01
M,482,Bissouma,5.0,5.0,Spurs,9,0.33,28,1.0,61,1.8,64,1.84,63,2.2,63,1.87,62,1.9,60,7.3393361875,0.0
M,483,Bryan,5.0,5.0,Spurs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
D,484,Davies,4.5,4.5,Spurs,15,0.58,10,0.39,12,0.34,14,0.4,15,0.61,16,0.5,17,0.55,17,2.3369573125,0.0
M,485,Devine,4.5,4.5,Spurs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
D,486,Dragusin,4.5,4.5,Spurs,15,0.58,14,0.59,17,0.48,18,0.51,22,0.92,20,0.58,21,0.69,20,3.0478129999999997,0.0
D,487,E.Royal,4.5,4.5,Spurs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
G,488,Forster,4.5,4.5,Spurs,0,0.0,0,0.0,0,0.0,0,0.0,2,0.07,3,0.12,4,0.13,3,0.46339468749999996,0.0
M,489,Gray,5.0,5.0,Spurs,4,0.12,5,0.17,5,0.14,5,0.14,6,0.19,5,0.16,6,0.19,7,0.873188875,0.0
M,490,Højbjerg,5.0,5.0,Spurs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,491,Johnson,6.5,6.5,Spurs,71,4.21,69,4.21,67,3.29,66,2.93,65,4.11,66,3.19,65,3.38,64,13.49259425,0.01
M,492,Kulusevski,6.5,6.5,Spurs,44,2.31,43,2.27,41,1.88,41,1.7,41,2.27,40,1.87,41,1.88,40,7.648889874999998,0.03
M,493,Lo Celso,5.0,5.0,Spurs,10,0.56,10,0.54,9,0.47,8,0.41,10,0.57,10,0.51,10,0.52,12,2.2035941249999995,0.0
M,494,Maddison,7.5,7.5,Spurs,66,4.13,62,4.02,56,2.9,55,2.57,53,3.52,55,2.83,53,2.92,52,11.9566734375,0.04
D,495,Pedro Porro,5.5,5.5,Spurs,88,4.27,86,4.63,84,2.87,83,2.63,80,4.32,81,2.8,80,3.13,79,13.002730437499997,0.34
D,496,Reguilón,4.5,4.5,Spurs,11,0.51,6,0.3,7,0.27,7,0.26,8,0.4,8,0.3,8,0.34,9,1.4084891875,0.0
F,497,Richarlison,7.0,7.0,Spurs,20,1.38,21,1.46,22,1.32,24,1.24,26,1.76,28,1.53,26,1.51,28,6.122173999999999,0.01
D,498,Romero,5.0,5.0,Spurs,90,3.3,87,3.66,87,2.16,84,2.04,83,3.39,83,2.15,81,2.4,82,10.028356249999998,0.05
M,499,P.Sarr,5.0,5.0,Spurs,66,2.49,64,2.44,55,1.87,52,1.72,53,2.09,53,1.79,53,1.83,53,7.295886312499999,0.0
F,500,Scarlett,4.5,4.5,Spurs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,501,Skipp,5.0,5.0,Spurs,18,0.75,17,0.7,10,0.42,11,0.42,12,0.47,12,0.47,13,0.5,13,1.953238125,0.0
M,502,Solomon,5.5,5.5,Spurs,4,0.33,5,0.4,5,0.33,6,0.36,6,0.48,7,0.47,8,0.51,8,2.0248751250000003,0.0
M,503,Son,10.0,10.0,Spurs,86,5.84,85,5.78,84,4.62,83,4.11,81,5.76,82,4.53,82,4.75,81,19.19740425,0.1
D,504,Spence,4.5,4.5,Spurs,6,0.3,7,0.36,8,0.31,10,0.36,11,0.5,11,0.41,11,0.44,12,1.8728483749999998,0.0
D,505,Udogie,5.0,5.0,Spurs,65,2.86,82,3.96,80,2.39,79,2.24,77,3.62,77,2.38,76,2.64,75,10.9650013125,0.04
D,506,Van de Ven,4.5,4.5,Spurs,89,3.17,86,3.54,83,2.05,82,2.0,80,3.1,81,2.09,81,2.31,81,9.567811375,0.07
F,507,Veliz,5.0,5.0,Spurs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
G,508,Vicario,5.0,5.0,Spurs,94,3.78,93,3.87,93,3.3,92,3.23,92,3.73,91,3.25,91,3.34,92,12.9787674375,0.04
M,509,Werner,6.5,6.5,Spurs,24,1.68,25,1.76,22,1.36,25,1.37,27,1.92,26,1.54,25,1.52,27,6.7540889375,0.0
G,510,Whiteman,4.0,4.0,Spurs,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.01
M,511,Álvarez,5.0,5.0,West Ham,0,0.0,35,0.99,70,1.74,79,2.19,79,2.18,78,2.15,77,2.53,78,7.8571648125,0.0
F,512,Antonio,5.5,5.5,West Ham,38,1.98,38,1.83,37,1.63,35,1.81,38,1.94,37,1.84,39,2.43,38,7.014945125,0.01
G,513,Areola,4.5,4.5,West Ham,93,3.33,91,3.24,91,2.98,91,3.25,89,3.04,88,3.19,88,3.55,86,11.448846,0.1
M,514,Bowen,7.5,7.5,West Ham,89,4.69,85,3.93,83,3.34,83,4.27,80,4.21,79,4.06,78,5.58,78,14.658142062499998,0.07
M,515,Cornet,5.0,5.0,West Ham,0,0.0,1,0.11,2,0.17,2,0.19,3,0.23,3,0.21,4,0.35,3,0.9985030624999999,0.0
D,516,Coufal,4.5,4.5,West Ham,23,0.78,27,0.83,25,0.61,26,0.88,28,0.89,28,0.92,27,1.22,29,3.3923373124999996,0.01
D,517,Cresswell,4.0,4.0,West Ham,10,0.38,14,0.48,16,0.44,15,0.54,17,0.6,17,0.61,18,0.85,18,2.4757424375,0.02
M,518,Downes,5.0,5.0,Southampton,84,2.0,77,2.21,74,1.97,69,1.86,69,2.09,72,1.89,69,1.62,70,6.739860437499999,0.0
M,519,Earthy,4.5,4.5,West Ham,8,0.48,8,0.46,6,0.35,6,0.36,6,0.36,6,0.38,7,0.46,8,1.5740038125,0.0
D,520,Emerson,4.5,4.5,West Ham,85,2.8,80,2.37,77,1.6,76,2.4,75,2.3,75,2.45,75,3.6,74,8.4405199375,0.01
G,521,Fabianski,4.0,4.0,West Ham,2,0.06,4,0.14,4,0.14,4,0.14,6,0.19,6,0.23,6,0.25,9,1.0160527499999998,0.13
G,522,Foderingham,4.5,4.5,West Ham,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
F,523,Ings,5.0,5.0,West Ham,2,0.21,3,0.26,4,0.26,4,0.31,5,0.36,5,0.36,5,0.41,5,1.4136998125,0.01
D,524,Kilman,4.5,4.5,West Ham,79,2.36,72,1.98,64,1.21,61,1.75,61,1.65,61,1.78,61,2.59,60,6.2601570625,0.01
M,525,Kudus,6.5,6.5,West Ham,84,3.91,79,3.29,76,2.83,74,3.35,75,3.44,72,3.23,72,4.29,72,11.9599570625,0.09
M,526,L.Guilherme,5.0,5.0,West Ham,3,0.2,4,0.26,4,0.24,4,0.27,4,0.31,4,0.28,5,0.4,5,1.2543470625,0.0
M,527,L.Paquetá,6.0,6.0,West Ham,69,3.31,60,2.55,52,2.09,50,2.33,50,2.48,53,2.41,52,3.2,53,8.690711812499998,0.02
D,528,Mavropanos,4.5,4.5,West Ham,47,1.6,35,1.11,21,0.52,20,0.67,21,0.69,22,0.73,23,1.09,24,2.8997201875,0.0
D,529,N.Aguerd,4.5,4.5,West Ham,63,1.92,51,1.41,45,0.91,43,1.28,44,1.24,45,1.37,43,1.86,46,4.7004399375,0.0
M,530,Souček,5.0,5.0,West Ham,83,2.89,74,2.46,68,2.04,66,2.31,66,2.33,65,2.27,66,2.9,65,8.4171781875,0.02
M,531,Ward-Prowse,6.5,6.5,West Ham,81,3.31,73,2.81,65,2.28,63,2.62,62,2.63,62,2.54,61,3.27,62,9.474008374999999,0.02
D,532,Zouma,4.5,4.5,West Ham,0,0.0,32,0.92,60,1.21,68,2.01,66,1.86,66,2.03,65,2.83,63,7.077509375,0.01
D,533,Aït-Nouri,4.5,4.5,Wolves,87,1.37,84,2.6,82,2.95,70,2.52,69,2.0,71,2.04,72,2.53,70,8.843509874999999,0.03
M,534,B.Traore,5.0,5.0,Wolves,16,0.57,22,0.8,22,0.81,22,0.82,24,0.82,23,0.82,24,0.86,24,3.4206836249999997,0.0
M,535,Bellegarde,5.0,5.0,Wolves,23,0.94,25,1.16,28,1.25,26,1.21,27,1.14,28,1.21,28,1.22,31,4.889729125,0.0
G,536,Bentley,4.0,4.0,Wolves,2,0.06,2,0.09,3,0.11,3,0.13,5,0.15,5,0.17,5,0.19,4,0.5332708125,0.02
M,537,Chiquinho,4.5,4.5,Wolves,2,0.14,2,0.18,3,0.22,3,0.26,4,0.24,4,0.27,3,0.25,4,1.0345465624999999,0.0
M,538,Chirewa,4.5,4.5,Wolves,2,0.16,4,0.26,5,0.31,4,0.29,4,0.27,5,0.31,5,0.32,6,1.37763725,0.0
F,539,Chiwome,4.5,4.5,Wolves,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,540,Cundle,4.5,4.5,Wolves,0,0.0,0,0.0,2,0.16,3,0.18,3,0.19,3,0.2,4,0.24,4,1.024733,0.0
F,541,Cunha,6.5,6.5,Wolves,79,2.67,76,3.47,73,3.31,72,3.43,72,3.04,70,3.05,70,3.18,69,11.744513125000001,0.02
D,542,Dawson,4.5,4.5,Wolves,48,0.68,44,1.21,48,1.49,48,1.39,46,1.06,50,1.15,48,1.38,49,5.101966249999999,0.0
D,543,Doherty,4.5,4.5,Wolves,76,1.4,72,2.42,72,2.76,31,1.2,32,1.06,31,1.05,34,1.28,35,4.7408425,0.0
M,544,Doyle,5.0,5.0,Wolves,14,0.59,17,0.8,17,0.8,18,0.84,19,0.83,17,0.79,19,0.9,19,3.37325175,0.0
F,545,Fábio Silva,5.0,5.0,Wolves,7,0.39,8,0.48,8,0.47,7,0.48,8,0.46,10,0.55,9,0.54,10,2.114598375,0.0
F,546,Fraser,4.5,4.5,Wolves,6,0.33,6,0.36,7,0.38,7,0.4,8,0.43,9,0.45,9,0.48,8,1.6312938125,0.06
M,547,Gonzalez,4.5,4.5,Wolves,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,548,Guedes,5.5,5.5,Wolves,11,0.52,12,0.66,12,0.66,12,0.68,13,0.68,13,0.7,13,0.71,13,2.8097224374999996,0.0
D,549,H.Bueno,4.5,4.5,Wolves,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0
M,550,Hee Chan,6.5,6.5,Wolves,77,2.64,74,3.53,72,3.52,73,3.69,71,3.1,71,3.15,70,3.27,70,12.137881375,0.01
M,551,Hodge,4.5,4.5,Wolves,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.01
D,552,Hoever,4.0,4.0,Wolves,22,0.51,26,0.94,28,1.08,11,0.4,12,0.39,12,0.39,15,0.54,13,1.8355144999999997,0.0
M,553,J.Gomes,5.0,5.0,Wolves,87,1.97,82,2.25,80,2.27,80,2.27,79,2.04,79,2.05,77,2.14,77,7.744775375,0.0
G,554,José Sá,4.5,4.5,Wolves,93,3.0,92,3.21,92,3.41,91,3.22,90,3.1,90,3.01,90,3.23,91,12.069574312499999,0.03
F,555,Kalajdžić,5.0,5.0,Wolves,1,0.07,4,0.31,7,0.43,7,0.47,7,0.44,7,0.42,8,0.48,8,1.8860895624999998,0.0
G,556,King,4.0,4.0,Wolves,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.01
M,557,Mario Jr.,5.0,5.0,Wolves,88,2.06,84,2.44,82,2.41,81,2.46,79,2.17,79,2.24,79,2.33,77,8.258607374999999,0.0
D,558,Mosquera,4.0,4.0,Wolves,44,0.74,48,1.37,51,1.69,49,1.49,51,1.29,45,1.17,46,1.42,47,5.37636175,0.01
D,559,N.Semedo,4.5,4.5,Wolves,0,0.0,0,0.0,0,0.0,82,2.43,81,1.94,80,1.92,78,2.33,78,8.3934866875,0.0
M,560,Neto,6.5,6.5,Chelsea,26,1.34,27,1.63,27,1.77,28,1.7,29,1.69,29,1.89,29,2.03,29,5.979036437499999,0.01
D,561,Pedro Lima,4.0,4.0,Wolves,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.01
